issue_key,debt_type,debt_indicator,text_content,time_spent_on_repayment_after_debt_reported (h),existing_debt_in_the_system,debt_reported_by_creators,debt_location,resolve_status,resolved_by,notes
CAMEL-1256,Code,Duplicated code,"The camel-cxf component is dued for some code cleanup and refactoring.   We can clean some of of the interfaces and redundant code, etc.",107,Yes,No,System,Resolved,Identifiers,
CAMEL-1317,Documentation,Outdated documentation,We can definitely do this in Camel already... just need an example/docs for it.,5,Yes,No,System,Resolved,Identifiers,
CAMEL-1320,Documentation,Outdated documentation,"And we need to add it to the wiki page as well, under data formats.",16,No,No,System,Resolved,Creators,
CAMEL-1669,Requirement,Requirement partially implemented,The only feature which we don't support is correlated message groups. That requires a bit more work and also may complicated the configuration a bit as you would need to configure- expression to evaluate the correlation keyAnd then the throttler logic need to have a map of correlation key -> TimeSlot,-,No,No,System,Unresolved,-,
CAMEL-1669,Test,Lack of tests,"But I just wanted to say that anything we change in the model, we must have unit tests to cover that change in both camel-core (Java DSL) and camel-spring (XML DSL). ",19,No,No,Patch,Resolved,Creators,
CAMEL-1846,Documentation,Outdated documentation,The maven reports is just getting to old and intermixed with 1.x and trunk releases. We should just remove them as they dont bring much value anyway.The xsddoc has been removed from the build files. So its now a matter of removing from the apache http site (people with credentials is needed),-,Yes,No,System,Unresolved,-,
CAMEL-1881,Test,Lack of tests,"@Stan, maybe you want to add a unit test?  ",15,No,No,Patch,Resolved,Creators,
CAMEL-201,Code,Low-quality code ,Only two issues with the ident of the code.One @override was not idented properly. And one method parameter was on a new line instead of singleline. Just nitpicking.,19,No,No,Patch,Resolved,Creators,
CAMEL-201,Documentation,Outdated documentation,Would love to have it documented on the wiki that we got this new transform DSL now.And we should remember to add it to the release notes that setOutBody() is depreacted and replaced with transform(),37,No,No,System,Resolved,Creators,
CAMEL-201,Test,Lack of tests, There are no XQuery specific tests (mainly because of not knowing where to put them,23,No,Yes,Patch,Resolved,Creators,
CAMEL-2163,Documentation,Outdated documentation,Stan lets add an example to camel-jdbc and camel-sql wiki pages how to use the split(body()) to process each row one by one.,53,Yes,No,System,Resolved,Identifiers,
CAMEL-231,Documentation,Low-quality documentation,Broken link on wiki page for Type Converter,21,Yes,No,System,Resolved,Identifiers,
CAMEL-2446,Test,Lack of tests,"I have smoke tested the examples, but is there a general unit test that will validate that the context file?",-,No,Yes,Patch,Unresolved,-,Not committed 
CAMEL-2535,Code,Dead code,"As we don't use the CxfSoap component any more, it's time to clean it up.",38,Yes,No,System,Resolved,Identifiers,
CAMEL-3033,Design,Non-optimal decisions,"If you take a look at CXF FaultOutInterceptor and WebFaultOutInterceptor, you will find CXF already did that kind of thing for you.Such as setting the fault message with fault cause message , and building up the fault detail, all you need to do is make sure that your fault is thrown rightly from CxfConsumer.",14,No,No,Patch,Resolved,Creators,
CAMEL-3033,Test,Lack of tests,Can you write a small test case to demonstrate that current camel-cxf can't handle the fault rightly?,14,No,No,Patch,Resolved,Creators,
CAMEL-3217,Test,Low coverage,Johan you are a committer now. Can you port your unit test to Apache?,-,Yes,No,System,Unresolved,-,
CAMEL-3351,Code,Duplicated code,removing dupe code.,396,No,No,Patch,Resolved,Identifiers,
CAMEL-3351,Code,Dead code,Removed unused imports,396,No,No,Patch,Resolved,Identifiers,
CAMEL-383,Code,Low-quality code ,Also anyone got a better name for the option (transferExchange)?,23,No,No,Patch,Resolved,Others,
CAMEL-383,Documentation,Outdated documentation,TODO: Remember to update wiki component documentation with the new option if patch is accepted,194,No,No,System,Resolved,Identifiers,
CAMEL-3888,Documentation,Low-quality documentation,Tighten up @deprecated in camel-core to add more details what alternatives to use-----Description-----Author: Claus IbsenWe should ensure all deprecated classes/methods in camel-core is documented what alternatives to use. Also if possible give a hint when it could be removed.,1220,Yes,No,System,Resolved,Identifiers,
CAMEL-4132,Architecture,Using obsoleted technology,The camel-atom component is using an ancient incubator version of abdera which will make it hard to work with camel-cxf.   Updating to 1.1.2 which is what CXF uses would help.,19,Yes,No,System,Resolved,Others,
CAMEL-4331,Build,Over- or under-declared dependencies,"Avoid the redundant direct dependency on log4j by the components (of the scope 'test'), as it's transitively given for free through the slf4j-log4j12 dependency with the RIGHT / COMPLIANT version-----Description-----Author: Babak VahdatSee the discussion here http://camel.465427.n5.nabble.com/Camel-freemarker-td4693216.html-----Comment No.0-----To last: -14h-----Author: Babak VahdatI didn't remove the log4j dependencies by the pom's of camel-web & camel-web-standalone, as there it's of the scope 'compile'. I assume these 2 declared dependencies were on purpose!----------------------------------------------------------------------------------------------------Submitted commit  fe1b4094ea855ec34667c4091ac304da05b10940Author: Claus Ibsen <davsclaus@apache.org>Link:             https://github.com/apache/camel/commit/fe1b4094ea855ec34667c4091ac304da05b10940CAMEL-4331: Remove log4j test scoped dependency in pom.xml as slf4j-log4j provides it. Thanks to Babak for the patch.",14,Yes,No,System,Resolved,Identifiers,
CAMEL-4543,Architecture,Violation of modularity,"It would be good if these were moved into their own module, something like camel-aries-namespace or the like.",123,Yes,No,System,Resolved,Identifiers,
CAMEL-4593,Architecture,Using obsoleted technology,We need to upgrade the the abdera to 1.1.3 once it is out.,13825,Yes,No,System,Resolved,Others,
CAMEL-4826,Documentation,Low-quality documentation,"Tech edits of JavaDoc and other code comments -- lets -> (let's, allow, {})",98,Yes,No,System,Resolved,Identifiers,
CAMEL-493,Documentation,Outdated documentation,The camel mail component registers nntp as a supported protocol but there is no javacode or documentation how to use it,-,Yes,No,System,Unresolved,-,
CAMEL-5205,Code,Dead code,Remove legacy code in DefaultEndpoint in createExchange(Exchange) method,1,Yes,No,System,Resolved,Identifiers,
